#format 2dsweep MONTE_CARLO
#[Custom WaveView] saved 12:24:30 Sat Jun 29 2019
TIME ,n1 
#sweep 1
 2.5000E-09 , 7.7642E-01 
 1.0000E-08 , 1.2085E-05 
 1.7500E-08 , 2.4954E-03 
#sweep 2
 2.5000E-09 , 7.4991E-01 
 1.0000E-08 , 1.5158E-05 
 1.7500E-08 , 4.0021E-03 
#sweep 3
 2.5000E-09 , 7.6834E-01 
 1.0000E-08 ,-8.3002E-07 
 1.7500E-08 , 3.2556E-03 
#sweep 4
 2.5000E-09 , 7.8946E-01 
 1.0000E-08 , 4.1071E-05 
 1.7500E-08 , 1.5659E-03 
#sweep 5
 2.5000E-09 , 7.6475E-01 
 1.0000E-08 , 1.3818E-05 
 1.7500E-08 , 2.6186E-03 
#sweep 6
 2.5000E-09 , 7.7021E-01 
 1.0000E-08 ,-4.1925E-06 
 1.7500E-08 , 4.4747E-03 
#sweep 7
 2.5000E-09 , 7.7616E-01 
 1.0000E-08 ,-1.5684E-07 
 1.7500E-08 , 2.6933E-03 
#sweep 8
 2.5000E-09 , 7.8549E-01 
 1.0000E-08 , 5.7646E-08 
 1.7500E-08 , 9.9145E-04 
#sweep 9
 2.5000E-09 , 7.8792E-01 
 1.0000E-08 , 1.1397E-05 
 1.7500E-08 , 1.4080E-03 
#sweep 10
 2.5000E-09 , 7.8539E-01 
 1.0000E-08 , 6.1829E-06 
 1.7500E-08 , 1.1887E-03 
#sweep 11
 2.5000E-09 , 7.6582E-01 
 1.0000E-08 ,-4.1328E-06 
 1.7500E-08 , 4.0888E-03 
#sweep 12
 2.5000E-09 , 7.8542E-01 
 1.0000E-08 ,-5.6865E-06 
 1.7500E-08 , 1.6812E-03 
#sweep 13
 2.5000E-09 , 7.8871E-01 
 1.0000E-08 ,-7.7420E-06 
 1.7500E-08 , 1.1957E-03 
#sweep 14
 2.5000E-09 , 7.8293E-01 
 1.0000E-08 , 2.1939E-05 
 1.7500E-08 , 1.8698E-03 
#sweep 15
 2.5000E-09 , 7.7280E-01 
 1.0000E-08 , 7.8027E-07 
 1.7500E-08 , 3.1704E-03 
#sweep 16
 2.5000E-09 , 7.8093E-01 
 1.0000E-08 , 2.8276E-05 
 1.7500E-08 , 8.7557E-04 
#sweep 17
 2.5000E-09 , 7.4303E-01 
 1.0000E-08 , 1.1584E-05 
 1.7500E-08 , 4.9456E-03 
#sweep 18
 2.5000E-09 , 7.8729E-01 
 1.0000E-08 , 7.8662E-06 
 1.7500E-08 , 1.4964E-03 
#sweep 19
 2.5000E-09 , 7.8296E-01 
 1.0000E-08 , 8.0491E-06 
 1.7500E-08 , 2.2301E-03 
#sweep 20
 2.5000E-09 , 7.0847E-01 
 1.0000E-08 , 7.1165E-06 
 1.7500E-08 , 8.1397E-03 
#sweep 21
 2.5000E-09 , 7.1191E-01 
 1.0000E-08 ,-4.3306E-06 
 1.7500E-08 , 7.9036E-03 
#sweep 22
 2.5000E-09 , 7.7084E-01 
 1.0000E-08 , 1.6079E-07 
 1.7500E-08 , 3.0119E-03 
#sweep 23
 2.5000E-09 , 7.8837E-01 
 1.0000E-08 ,-8.5649E-06 
 1.7500E-08 , 1.2189E-03 
#sweep 24
 2.5000E-09 , 7.8438E-01 
 1.0000E-08 , 2.9387E-05 
 1.7500E-08 , 2.0733E-03 
#sweep 25
 2.5000E-09 , 7.7510E-01 
 1.0000E-08 ,-4.4542E-06 
 1.7500E-08 , 3.0129E-03 
#sweep 26
 2.5000E-09 , 7.8661E-01 
 1.0000E-08 ,-9.9447E-06 
 1.7500E-08 , 2.2654E-03 
#sweep 27
 2.5000E-09 , 7.7594E-01 
 1.0000E-08 , 1.8157E-05 
 1.7500E-08 , 2.4801E-03 
#sweep 28
 2.5000E-09 , 6.6431E-01 
 1.0000E-08 ,-5.7922E-08 
 1.7500E-08 , 1.3039E-02 
#sweep 29
 2.5000E-09 , 7.7822E-01 
 1.0000E-08 ,-6.6988E-06 
 1.7500E-08 , 2.5743E-03 
#sweep 30
 2.5000E-09 , 7.0818E-01 
 1.0000E-08 ,-7.1683E-06 
 1.7500E-08 , 8.3053E-03 
#sweep 31
 2.5000E-09 , 7.2147E-01 
 1.0000E-08 ,-1.7545E-07 
 1.7500E-08 , 5.4952E-03 
#sweep 32
 2.5000E-09 , 7.7448E-01 
 1.0000E-08 , 1.8123E-05 
 1.7500E-08 , 2.6279E-03 
#sweep 33
 2.5000E-09 , 7.9850E-01 
 1.0000E-08 , 5.7242E-08 
 1.7500E-08 , 1.9862E-04 
#sweep 34
 2.5000E-09 , 7.9290E-01 
 1.0000E-08 , 1.7618E-05 
 1.7500E-08 , 6.2086E-04 
#sweep 35
 2.5000E-09 , 7.7721E-01 
 1.0000E-08 , 1.4601E-06 
 1.7500E-08 , 2.5582E-03 
#sweep 36
 2.5000E-09 , 7.9566E-01 
 1.0000E-08 , 1.6050E-06 
 1.7500E-08 , 5.6364E-04 
#sweep 37
 2.5000E-09 , 7.7461E-01 
 1.0000E-08 ,-6.8104E-06 
 1.7500E-08 , 3.1108E-03 
#sweep 38
 2.5000E-09 , 7.9210E-01 
 1.0000E-08 , 1.3900E-06 
 1.7500E-08 , 9.9704E-04 
#sweep 39
 2.5000E-09 , 7.9407E-01 
 1.0000E-08 ,-4.6780E-06 
 1.7500E-08 , 6.8493E-04 
#sweep 40
 2.5000E-09 , 7.8843E-01 
 1.0000E-08 ,-9.6622E-06 
 1.7500E-08 , 1.6899E-03 
#sweep 41
 2.5000E-09 , 5.5965E-01 
 1.0000E-08 , 1.3039E-05 
 1.7500E-08 , 9.4003E-03 
#sweep 42
 2.5000E-09 , 7.8169E-01 
 1.0000E-08 ,-9.2245E-06 
 1.7500E-08 , 1.6111E-03 
#sweep 43
 2.5000E-09 , 7.8080E-01 
 1.0000E-08 , 1.7234E-06 
 1.7500E-08 , 2.5080E-03 
#sweep 44
 2.5000E-09 , 7.7579E-01 
 1.0000E-08 ,-1.7758E-05 
 1.7500E-08 , 3.1859E-03 
#sweep 45
 2.5000E-09 , 7.7240E-01 
 1.0000E-08 ,-2.3370E-05 
 1.7500E-08 , 2.7149E-03 
#sweep 46
 2.5000E-09 , 7.8928E-01 
 1.0000E-08 ,-4.2696E-06 
 1.7500E-08 , 1.3224E-03 
#sweep 47
 2.5000E-09 , 7.7986E-01 
 1.0000E-08 , 1.4594E-05 
 1.7500E-08 , 2.2257E-03 
#sweep 48
 2.5000E-09 , 7.5873E-01 
 1.0000E-08 ,-1.9959E-05 
 1.7500E-08 , 2.6882E-03 
#sweep 49
 2.5000E-09 , 7.9374E-01 
 1.0000E-08 ,-3.3995E-06 
 1.7500E-08 , 7.1292E-04 
#sweep 50
 2.5000E-09 , 7.2407E-01 
 1.0000E-08 ,-1.3218E-06 
 1.7500E-08 , 6.9871E-03 
#sweep 51
 2.5000E-09 , 7.7444E-01 
 1.0000E-08 , 1.6130E-05 
 1.7500E-08 , 2.5434E-03 
#sweep 52
 2.5000E-09 , 7.7875E-01 
 1.0000E-08 , 3.3647E-06 
 1.7500E-08 , 1.5594E-03 
#sweep 53
 2.5000E-09 , 6.9573E-01 
 1.0000E-08 , 1.2525E-05 
 1.7500E-08 , 1.0755E-02 
#sweep 54
 2.5000E-09 , 7.7476E-01 
 1.0000E-08 ,-4.4718E-06 
 1.7500E-08 , 3.0773E-03 
#sweep 55
 2.5000E-09 , 7.3914E-01 
 1.0000E-08 , 2.5727E-06 
 1.7500E-08 , 6.4939E-03 
#sweep 56
 2.5000E-09 , 7.6237E-01 
 1.0000E-08 , 1.4804E-05 
 1.7500E-08 , 3.0246E-03 
#sweep 57
 2.5000E-09 , 7.8818E-01 
 1.0000E-08 ,-2.5181E-06 
 1.7500E-08 , 1.8852E-03 
#sweep 58
 2.5000E-09 , 7.7673E-01 
 1.0000E-08 ,-2.2844E-05 
 1.7500E-08 , 2.1423E-03 
#sweep 59
 2.5000E-09 , 7.7242E-01 
